,Africa,Asia Pacific,Australia,Europe,Middle East,North America,South America,t1_reach,t1_cc_reach,all_reach
2008,0,869605908,0,1192638343,0,1424166190,0,195462464,0,1800280074
2009,139880,1295305384,0,1520827497,0,1568769503,700276065,200438998,0,1981103840
2010,149600,1396932237,0,1735534655,0,1811645222,748666444,210906132,0,2169297027
2011,45640686,1683018798,0,1819435510,4088528,2028918165,867525978,240888456,0,2391707876
2012,49336536,1893423714,0,2071248327,6319464,2139744804,1009712231,243233538,0,2501323665
2013,21691376,1916127919,0,2134232632,13831666,2178907966,928598045,241953252,0,2612374822
2014,375341089,1960778171,1175239950,2309340299,31591163,2212238139,653538949,280202412,0,2659905752
2015,398125132,1987760592,746137096,2166411375,285042558,2291079732,483900202,285972249,0,2713901174
2016,1533863677,2079951061,595186397,2383268030,329296813,2509660164,356861724,289569046,0,2806943549
2017,1709940194,2198348877,935945788,2452906342,417814866,2447377405,787726944,0,0,2835132733
2018,1657131125,2239015940,801788780,2317481940,1032580846,2334237025,800694434,0,0,2861275137
2019,0,0,0,0,0,0,0,0,0,0
