ts,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2006,1053773748.0,1532753445.0,1789492376.0,1870789258.0,1923998552.0,1951955290.0,1972876330.0,1991387492.0,1999079362.0,2001539438.0,2001539438.0,2001539438.0,,,,,,
2007,783300960.0,1227862354.0,1369867782.0,1464103416.0,1506174436.0,1545985868.0,1578560410.0,1607836673.0,1624661785.0,1636563817.0,1643883209.0,1646348827.0,1647876355.0,1649229444.0,,,,
2008,983827417.0,1301532682.0,1432166843.0,1537922457.0,1607357872.0,1649362094.0,1689610598.0,1714747208.0,1735677070.0,1748629600.0,1756399470.0,1759278488.0,1761677064.0,1763390592.0,1763615104.0,,,
2009,987193441.0,1412076630.0,1567913107.0,1669694461.0,1749809962.0,1810773823.0,1854471368.0,1896430516.0,1927161324.0,1949371080.0,1961471740.0,1969355896.0,1974125784.0,1978353626.0,1978613970.0,,,
2010,1167172024.0,1540934671.0,1710740231.0,1834688820.0,1931333213.0,2000135812.0,2049621822.0,2089079204.0,2115425378.0,2131997434.0,2145811310.0,2151689262.0,2157400468.0,2162772444.0,2165073971.0,2166731285.0,,
2011,1339212898.0,1648710215.0,1902477972.0,1999553476.0,2085945363.0,2150378159.0,2199357187.0,2239290243.0,2270162377.0,2297128321.0,2320669615.0,2341344333.0,2356972233.0,2366687693.0,2376352679.0,2382338415.0,2387490021.0,2389168186.0
2012,1521246382.0,1803661907.0,1976049297.0,2093253806.0,2182085292.0,2249767889.0,2294939605.0,2336555958.0,2374335480.0,2407972972.0,2435351168.0,2456109688.0,2467164600.0,2477345754.0,2485295686.0,2491317270.0,2492871347.0,
2013,1434242497.0,1695817323.0,1879552217.0,2045836585.0,2201903633.0,2295309838.0,2358086092.0,2409257756.0,2457384843.0,2499291251.0,2533965109.0,2559900969.0,2581157001.0,2591577811.0,2600631143.0,2608115909.0,2610053236.0,
2014,1504644578.0,1788138520.0,1981570022.0,2136213136.0,2262361185.0,2374598297.0,2429431786.0,2478772932.0,2519574748.0,2552004202.0,2577572800.0,2594262284.0,2602916230.0,,,,,
2015,1490484009.0,1802470022.0,2010382392.0,2138704002.0,2260516748.0,2358491816.0,2436490776.0,2507300687.0,2559170333.0,2604093800.0,2639730794.0,2666678879.0,2684466109.0,2701423261.0,2706516557.0,2710220575.0,,
2016,1418501768.0,1925760609.0,2120492441.0,2255961373.0,2379392087.0,2472031787.0,2548594319.0,2610189149.0,2658375261.0,2701172161.0,2737724855.0,2767508416.0,2787869484.0,2793336122.0,2798010350.0,2800659180.0,2801407768.0,
